scenario file,app,applications,throughput (flits/cycle),delay avg (cycles),delay var (cycles),a,b,type,fire rate,overlap
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.3572273,449831.0,32910640000.0,False,False,compact,0.01,82
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8159059,220894.05895,7954064086.139,False,False,compact,0.01,82
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.5025664999999999,219074.2,7892813000.0,False,False,compact,0.01,82
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8065166,733076.89,52409295000.0,False,False,compact,0.01,82
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9543433,173.83855,14950.652,False,False,compact,0.01,82
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.1119139,272693.74789999996,9214135986.626999,False,False,compact,0.01,82
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8608219,657437.3999999999,41269205000.0,False,False,compact,0.01,82
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-109,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4626076000000001,231433.16602,8808066871.977999,False,False,compact,0.01,82
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9645205,178.01415,15576.161,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6428868999999999,122.06162,11482.223,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.3571952,442893.4,32189490000.0,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8258858,218725.55803,7950225727.7,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.5023564,218064.90000000002,7970125000.0,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8515054,665368.5,44182127400.0,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9627408,175.59869,15202.767,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.0267327,390461.26012999995,21088845334.987,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8601151,680149.2999999999,40606919000.0,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-119,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4524625,224993.88282,8373366015.432,False,False,compact,0.01,95
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-129,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9678207999999999,187.14081,18373.225,False,False,compact,0.01,106
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-129,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6385716,116.7065,10125.765,False,False,compact,0.01,106
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-129,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.3824744,397557.5,26553920000.0,False,False,compact,0.01,106
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-129,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8212032,216534.57467,7958213787.911,False,False,compact,0.01,106
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-129,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.4982502,216601.6,8095616000.0,False,False,compact,0.01,106
