name,principal_component_1
1775f271e156c60308c5a4cba5826fe1968afb2e.cl-A,-0.083850034
15c3aecfecbcb6ff2881671d8341226724676df5.cl-A,-0.08371455
032c346c131d082394d8309653810498ae92ab2f.cl-A,-0.133767539
5deadfdce576357ef9104c7f18a41570d86d16a0.cl-A,-0.042907439
20a8cdb1deb4450973977f54167c147e9ba3ac15.cl-A,-0.261397248
8aee44fc0aa3c8ec50df9aaa75af60970c7bc351.cl-A,-0.113659204
1cc18bde9909f4fd492c1546e3111c4fc4103cb8.cl-A,-0.142242462
78b6fd9a0d9a9ad7640259fe26c790c6fdf9e19a.cl-A,-0.137608095
6e74cc91e2a93a12a708163c5d6dc5dd15ef8f8d.cl-A,-0.243085304
51cfd51760275b334b74ef1c914aca85e0b796d5.cl-A,-0.121842787
a61eb2d54f080f2779f10cea2664c8797f8b602b.cl-A,-0.093173986
2c61029874d3c472d334bf63d158254972f42719.cl-A,-0.146515826
1bf8b7526ed154699b692e766590eeee3fa8d99a.cl-A,-0.311090236
2fe9c450578fdd1cd6ae680e561f17f366cec038.cl-A,-0.190522051
3c6f9cf244b3ac09eb5d329f7b6af10c74cf81d6.cl-A,-0.102169388
1023702485ec028b9dec15ccbc93aaaa887f27ec.cl-A,-0.203627592
25dbfef82d23447a6b8c253459ed488d7497c128.cl-A,-0.129824356
6943eeb4ac38143a521c3ab07c2a4d65c2f37560.cl-A,-0.083646808
0832a306da3f0b341ceba9ee1fe1c0b4d4f22246.cl-A,-0.089763138
9ad612e02efdcc38d42e99552f798dcdbe96b4c8.cl-A,-0.169917979
6f03b6e2d0e2be6e471306bfdab7da02f2a85775.cl-A,-0.325995835
18f534d15cef15c776e7c114c3d6a552b8a094d8.cl-A,-0.050224873
18d3fe01c0bb10b829c85d5b91eacfcaa5860aae.cl-A,-0.089894389
a5b86e5e3fb3c07f9e4141c390988f5a0898d4f9.cl-A,-0.102479873
1061bd9e77d9d6a421fb2fe6698545b39bd8ce82.cl-A,-0.23281333
8aaf5da9730f653696d7e7d003cc355321e1dcac.cl-A,-0.242727137
170dbc21405f34855550d9bcb35f51e63e31b33a.cl-A,-0.190521799
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,-0.065446003
664ae7e88743d024cf6405eacd6f0cc0d4b25723.cl-A,-0.089860518
8608b04dca9c9dec248372bf9def18e4b343ecc4.cl-A,-0.146502278
1ff5d88dd3ba5594737f197c8840a1915efcf852.cl-A,-0.110123381
5c4fb7187ebb31ec34c1a2fe8e05ec4ff547139e.cl-A,-0.092930114
7f5aa6d8dbcdc7aebf4f924dd208fa12a87a8443.cl-A,-0.122288636
5fe5e614e4e4a1e7582db52f794a97ac70bf8bfc.cl-A,-0.096147941
48221b21a7a2fc39ac17dc8407728152e4173d5a.cl-A,-0.092889469
8c97d8898537482e64f07e57644e03ff351cfa27.cl-A,-0.103373767
8b021444d1606c51a423c43df50451136b541d7a.cl-A,-0.176090347
4823983b57581aee428c11e916a0a39780f29d3c.cl-A,-0.136835495
9067d37cad83f67a685daf4899c8d1cf72903b5b.cl-A,-0.25933187
