mappings_evaluated,kpn,tgff.file,representation,tgff.directory,kpn.name,trace,time_representation,mapper.record_statistics,time_simulating,representation_init_time,processes_in_task,mapper.random_seed,platform,mappings_cached,mapper,best_mapping_time,log_level
,tgff_reader,office-automation-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,7,multi_cluster,,genetic,,ERROR
187,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,0.21661708201281726,True,0.23097366602087277,0.1889680102467537,4,10,haec,81,genetic,0.288099999,ERROR
,tgff_reader,consumer-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_2,tgff_reader,,True,,,,4,haec,,random_walk,,ERROR
143,tgff_reader,telecom-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,0.07450828100263607,True,0.1328346060072363,9.656324982643127e-05,2,8,mppa_coolidge,123,genetic,3.334383333,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_7,tgff_reader,,True,,,,5,mppa_coolidge,,simulated_annealing,,ERROR
300,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,0.03508304499700898,True,0.2065283890000001,0.006168028339743614,3,10,designer_odroid,0,random_walk,0.003623468,ERROR
1,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_7,tgff_reader,0.1810921209907974,True,0.0009571939990564715,0.18959408812224865,2,2,mppa_coolidge,168,simulated_annealing,400.01655,ERROR
140,tgff_reader,telecom-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,0.07922614804920158,True,0.11054769295878941,9.391643106937408e-05,2,8,haec,121,genetic,0.044327783,ERROR
300,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_2,tgff_reader,0.04088264500023797,True,0.30607502600000025,0.005700023844838142,4,7,designer_odroid,0,random_walk,6.747538034,ERROR
206,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,0.2515341790031016,True,0.3205649460046516,9.55481082201004e-05,5,6,mppa_coolidge,57,genetic,410.004570499,ERROR
28,tgff_reader,networking-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,0.0037561420031124726,True,0.021259154007566394,4.7693029046058655e-05,4,8,designer_odroid,1,simulated_annealing,0.033857142,ERROR
,tgff_reader,consumer-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_7,tgff_reader,,True,,,,4,mppa_coolidge,,simulated_annealing,,ERROR
,tgff_reader,consumer-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_4,tgff_reader,,True,,,,3,multi_cluster,,genetic,,ERROR
317,tgff_reader,telecom-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_2,tgff_reader,0.3810460429849627,True,0.618831590985792,9.90554690361023e-05,6,9,mppa_coolidge,5,tabu_search,1400.00155,ERROR
,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,6,multi_cluster,,genetic,,ERROR
,tgff_reader,office-automation-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,,True,,,,7,designer_odroid,,simulated_annealing,,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_8,tgff_reader,,True,,,,5,haec,,genetic,,ERROR
92,tgff_reader,telecom-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,0.019407650015637046,True,0.1255298669966578,5.05056232213974e-05,6,3,designer_odroid,5,simulated_annealing,0.012123469,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_4,tgff_reader,,True,,,,8,haec,,simulated_annealing,,ERROR
,tgff_reader,networking-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,9,multi_cluster,,random_walk,,ERROR
,tgff_reader,consumer-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,,True,,,,4,mppa_coolidge,,tabu_search,,ERROR
,tgff_reader,consumer-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_8,tgff_reader,,True,,,,2,multi_cluster,,genetic,,ERROR
,tgff_reader,consumer-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,3,designer_odroid,,genetic,,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_8,tgff_reader,,True,,,,4,multi_cluster,,simulated_annealing,,ERROR
542,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_2,tgff_reader,15.181983445112564,True,1.020825525985856,0.19270669110119343,6,5,mppa_coolidge,10516,simulated_annealing,706.668717166,ERROR
36,tgff_reader,telecom-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,0.030124077999062138,True,0.02846493098695646,8.298829197883606e-05,2,5,haec,93,simulated_annealing,0.099883333,ERROR
300,tgff_reader,auto-indust-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,0.3783888070001922,True,0.551357518,0.18936160951852798,5,7,mppa_coolidge,0,random_walk,422.086271333,ERROR
,tgff_reader,office-automation-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,10,mppa_coolidge,,random_walk,,ERROR
12,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,0.030490235993056558,True,0.009474776004935848,0.18428043834865093,2,3,haec,116,simulated_annealing,0.099883333,ERROR
300,tgff_reader,consumer-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,0.4770568240001012,True,0.7611234050000006,0.00010163895785808563,7,10,haec,0,random_walk,15.278733333,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,,True,,,,2,mppa_coolidge,,tabu_search,,ERROR
,tgff_reader,networking-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,,True,,,,10,mppa_coolidge,,tabu_search,,ERROR
,tgff_reader,networking-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_7,tgff_reader,,True,,,,1,designer_odroid,,genetic,,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_8,tgff_reader,,True,,,,6,designer_odroid,,simulated_annealing,,ERROR
,tgff_reader,auto-indust-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_7,tgff_reader,,True,,,,8,mppa_coolidge,,random_walk,,ERROR
317,tgff_reader,auto-indust-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_3,tgff_reader,0.2796634309943329,True,0.4956621679975797,0.0007683150470256805,5,1,mppa_coolidge,7,tabu_search,1203.336221833,ERROR
