kpn,log_level,platform,mapping,trace,type,design_centering.perturbation.perturbation_type,passed,threshold,representation,random_seed
hog,ERROR,exynos,"[4, 2, 3, 7, 2, 5, 3, 2, 1, 1]",slx_default,rand,representation,20.0,1070ms,MetricSpaceEmbedding,3
hog,ERROR,exynos,"[5, 5, 6, 6, 1, 1, 4, 3, 5, 3]",slx_default,center,representation,40.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[0, 5, 3, 0, 2, 1, 7, 0, 7, 0]",slx_default,rand,representation,20.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[5, 7, 0, 5, 6, 1, 0, 7, 5, 4]",slx_default,rand,representation,100.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[4, 1, 5, 3, 6, 6, 7, 4, 1, 3]",slx_default,rand,representation,60.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[4, 4, 1, 4, 6, 0, 7, 5, 6, 7]",slx_default,rand,representation,90.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[2, 7, 4, 2, 2, 2, 0, 0, 4, 1]",slx_default,rand,representation,50.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[2, 2, 6, 6, 7, 5, 0, 5, 0, 7]",slx_default,rand,representation,50.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[1, 7, 4, 7, 2, 1, 3, 0, 5, 6]",slx_default,rand,representation,90.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[6, 7, 5, 6, 3, 5, 4, 0, 0, 4]",slx_default,rand,representation,100.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[1, 7, 0, 1, 1, 6, 7, 7, 7, 5]",slx_default,rand,representation,70.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[7, 5, 5, 0, 3, 6, 5, 6, 2, 1]",slx_default,rand,representation,80.0,1070ms,SimpleVector,3
hog,ERROR,exynos,"[5, 6, 3, 1, 1, 5, 5, 7, 5, 4]",slx_default,center,representation,80.0,1070ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[6, 4, 7, 4, 1, 1, 7, 6, 5, 2]",slx_default,rand,representation,100.0,1070ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[2, 2, 6, 3, 1, 7, 5, 3, 2, 1]",slx_default,rand,representation,30.0,1070ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[7, 3, 7, 2, 4, 0, 4, 7, 5, 4]",slx_default,rand,representation,20.0,1070ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[7, 0, 1, 4, 7, 1, 3, 4, 7, 3]",slx_default,rand,representation,60.0,1070ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[3, 6, 0, 0, 3, 6, 5, 7, 2, 7]",slx_default,rand,representation,60.0,1070ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[7, 0, 0, 3, 6, 3, 3, 4, 3, 3]",slx_default,rand,representation,10.0,1070ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[7, 7, 1, 0, 5, 7, 2, 3, 4, 3]",slx_default,rand,representation,30.0,1070ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[5, 2, 1, 3, 4, 1, 0, 7, 0, 6]",slx_default,rand,representation,10.0,1070ms,MetricSpaceEmbedding,2
