mapper,trace,kpn.name,processes_in_task,platform,mappings_cached,mapper.random_seed,mapper.record_statistics,log_level,tgff.directory,best_mapping_time,representation.canonical_operations,time_simulating,tgff.file,kpn,representation,time_representation,representation_init_time,mappings_evaluated
genetic,tgff_reader,TASK_GRAPH_8,,haec,,5,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_1,6,designer_odroid,43,3,True,ERROR,../../../tgff/e3s-0.9,0.012123469,False,0.073088987985102,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.02429382699119742,0.004852620884776115,54
simulated_annealing,tgff_reader,TASK_GRAPH_4,,haec,,8,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_5,,multi_cluster,,9,True,ERROR,../../../tgff/e3s-0.9,,False,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_6,,mppa_coolidge,,4,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_8,,multi_cluster,,2,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_5,,designer_odroid,,3,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_8,,multi_cluster,,4,True,ERROR,../../../tgff/e3s-0.9,,True,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_2,6,mppa_coolidge,5489,5,True,ERROR,../../../tgff/e3s-0.9,13.338988332,True,1.2003674280276755,telecom-mocsyn.tgff,tgff_reader,Symmetries,9.156302929972298,0.1830185130238533,647
simulated_annealing,tgff_reader,TASK_GRAPH_5,2,haec,117,5,True,ERROR,../../../tgff/e3s-0.9,0.099883333,False,0.010063437002827413,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.03069969397620298,0.18118640035390854,12
random_walk,tgff_reader,TASK_GRAPH_3,5,mppa_coolidge,0,7,True,ERROR,../../../tgff/e3s-0.9,422.086271333,True,0.6035710470000002,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.24500170800001797,0.182112580165267,300
random_walk,tgff_reader,TASK_GRAPH_5,,mppa_coolidge,,10,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_6,2,haec,122,3,True,ERROR,../../../tgff/e3s-0.9,0.099883333,True,0.0061528489968623035,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.030410419982217718,0.18095085211098194,8
random_walk,tgff_reader,TASK_GRAPH_0,7,haec,0,10,True,ERROR,../../../tgff/e3s-0.9,15.278733333,False,0.7660550350000016,consumer-mocsyn.tgff,tgff_reader,Symmetries,0.45178597400081344,0.18294990621507168,300
tabu_search,tgff_reader,TASK_GRAPH_6,,mppa_coolidge,,2,True,ERROR,../../../tgff/e3s-0.9,,True,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_6,,mppa_coolidge,,10,True,ERROR,../../../tgff/e3s-0.9,,False,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_7,,designer_odroid,,1,True,ERROR,../../../tgff/e3s-0.9,,False,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_8,,designer_odroid,,6,True,ERROR,../../../tgff/e3s-0.9,,True,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
