trace,mappings_cached,estimated_total_time,representation_init_time,time_simulating,time_representation,mapper,processes_in_task,tgff,kpn,mappings_evaluated,platform,mapper.random_seed,representation,log_level,best_mapping_time
tgff_reader,43,8.21590542793274,0.010345207527279854,0.24809652399198967,0.8950363820040366,genetic,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,230,exynos,4,SymmetryEmbedding,ERROR,0.004308806
tgff_reader,0,3.9079792499542236,0.010935107246041298,0.06889338199107442,0.1631160819924844,simulated_annealing,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,51,exynos,4,SymmetryEmbedding,ERROR,0.007785714
tgff_reader,40,2.0039844512939453,0.00017532892525196075,0.3270154988858849,0.30200499249622226,genetic,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,231,mppa_coolidge,2,SimpleVector,ERROR,410.866433332
tgff_reader,292,0.4479963779449463,0.0013945959508419037,0.04753502101448248,0.057001036999281496,tabu_search,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,69,exynos,3,Symmetries,ERROR,0.0023025
tgff_reader,0,1.7759900093078613,0.00985579751431942,0.3120526390002851,0.5597948340000585,tabu_search,5,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",tgff_reader,311,exynos,1,MetricSpaceEmbedding,ERROR,0.003417377
tgff_reader,6,781.4855761528015,598.6771875675768,1.5256161055294797,5.832201136625372,simulated_annealing,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,1241,mppa_coolidge,3,SymmetryEmbedding,ERROR,10.012129499
tgff_reader,0,4.2959678173065186,0.3621102571487427,0.3422088029474253,1.0944055499858223,tabu_search,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,321,mppa_coolidge,7,MetricSpaceEmbedding,ERROR,10.007049999
tgff_reader,15764,636.8142178058624,599.8301197234541,1.4306770151662598,72.62922121887095,gradient_descent,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",tgff_reader,1351,mppa_coolidge,7,SymmetryEmbedding,ERROR,6.668167666
tgff_reader,0,606.1953518390656,598.8973404262215,0.28989622699999934,1.0163557261694223,random_walk,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",tgff_reader,300,mppa_coolidge,10,SymmetryEmbedding,ERROR,400.00105
tgff_reader,0,1.079988956451416,0.01035088486969471,0.36317254400000015,0.8217732949997298,random_walk,5,"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,300,exynos,2,SymmetryEmbedding,ERROR,0.312075208
