x,y,runtime,representation,representation.target_distortion,representation.extra_dimensions
-7.341514444763567,9.609708010425189,36.871593357,MetricSpaceEmbedding,1.3,True
-7.2854136002653815,11.893858492913528,48.388447138,MetricSpaceEmbedding,1.3,True
-7.504620909670585,10.640594367527518,37.904386787,MetricSpaceEmbedding,1.3,True
-7.751158265460505,11.554643634195507,74.180877423,MetricSpaceEmbedding,1.3,True
-7.903614831782735,12.174384779019164,45.291007355,MetricSpaceEmbedding,1.3,True
-8.851581770391435,11.460988190056263,73.059772709,MetricSpaceEmbedding,1.3,True
-8.139602108420537,10.071433440667144,76.542248499,MetricSpaceEmbedding,1.3,True
-7.753420039061731,11.894667144729329,71.427641422,MetricSpaceEmbedding,1.3,True
-8.405485973499358,11.126970528946682,40.879861786,MetricSpaceEmbedding,1.3,True
-6.906222507899565,11.717617815868449,105.425167136,MetricSpaceEmbedding,1.3,True
-8.100616735193505,10.253528981714528,38.522543143,MetricSpaceEmbedding,1.3,True
-7.4190774940663315,10.738095299302836,74.502325001,MetricSpaceEmbedding,1.3,True
